date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648

2011-01-03 | 3
2011-01-04 | 2.5
2011-01-05 | 2.8

2011-01-03 |3
2011-01-04 |2.5
2011-01-05 |2.8

2001-42-42 | 3.2

2011-01-03 | 3
2011-01-03 | 2.5
2011-09-03 | 2.8
2011-03-04 | 2.7
2011-01-04 | 2.9
2011-01-05 | 2.6

2011-01-03 | 3
 | 2.5
2011-01-05 | 2.8

2011-01-03 | 3
2011-01-04 |
2011-01-05 | 2.8

2011-01-03 , 3
2011-01-04 , 2.5
2011-01-05 , 2.8

3 | 2011-01-03
2.5 | 2011-01-04
2.8 | 2011-01-05

2011-01-03 | 3
2011-01-04    |      2.5
2011-01-04    |      2.a5
2011-01-04    |      2.5a
2011-01-05 | two point eight


0234-01-01 | 2.5
2009-01-01 | 1
